"id1","vs1","X0.1","id3","vs3","X0.3","id5","vs5","X0.5","id7","vs7","X0.7","id9","vs9","X0.9","overallid","visoverall","overall"
3,"pcp-negative",0.149845321040479,3,"pcp-negative",0.118561004800874,2,"scatterplot-positive",0.0864476401481896,1,"scatterplot-negative",0.050306844594501,1,"scatterplot-negative",0.00801511487375939,2,"scatterplot-positive",NA
2,"scatterplot-positive",0.157000708026592,2,"scatterplot-positive",0.121724174087391,3,"pcp-negative",0.0872766885612679,2,"scatterplot-positive",0.0511711062089887,2,"scatterplot-positive",0.0158945722697877,3,"pcp-negative",NA
1,"scatterplot-negative",0.177182033756726,1,"scatterplot-negative",0.134890304035984,1,"scatterplot-negative",0.0925985743152426,3,"pcp-negative",0.0559923723216622,3,"pcp-negative",0.0247080560820565,1,"scatterplot-negative",NA
6,"stackedbar-negative",0.216696383715041,6,"stackedbar-negative",0.173381605915193,6,"stackedbar-negative",0.130066828115345,6,"stackedbar-negative",0.0867520503154975,11,"ordered line-negative",0.0360808515488574,6,"stackedbar-negative",NA
12,"ordered line-positive",0.226106368781664,12,"ordered line-positive",0.181827352704084,12,"ordered line-positive",0.137548336626503,12,"ordered line-positive",0.093269320548923,5,"donut-negative",0.0427706149125183,12,"ordered line-positive",NA
5,"donut-negative",0.255669334939059,5,"donut-negative",0.202444654932424,5,"donut-negative",0.149219974925789,5,"donut-negative",0.0959952949191535,6,"stackedbar-negative",0.0434372725156497,5,"donut-negative",NA
7,"stackedarea-negative",0.260081773809779,7,"stackedarea-negative",0.212071210503713,7,"stackedarea-negative",0.164060647197647,11,"ordered line-negative",0.107432459951201,12,"ordered line-positive",0.0489903044713427,7,"stackedarea-negative",NA
8,"stackedline-negative",0.281764725418918,8,"stackedline-negative",0.225212597140736,8,"stackedline-negative",0.168660468862554,8,"stackedline-negative",0.112108340584372,8,"stackedline-negative",0.0555562123061901,8,"stackedline-negative",NA
11,"ordered line-negative",0.321487285158234,11,"ordered line-negative",0.25013567675589,11,"ordered line-negative",0.178784068353545,7,"stackedarea-negative",0.116050083891582,7,"stackedarea-negative",0.0680395205855157,11,"ordered line-negative",NA
4,"pcp-positive",0.336815675470021,4,"pcp-positive",0.288440968404878,4,"pcp-positive",0.240066261339734,4,"pcp-positive",0.19169155427459,9,"radar-positive",0.140969526552298,4,"pcp-positive",NA
9,"radar-positive",0.407024391712221,9,"radar-positive",0.34051067542224,9,"radar-positive",0.27399695913226,9,"radar-positive",0.207483242842279,4,"pcp-positive",0.143316847209447,9,"radar-positive",NA
10,"line-positive",0.436367868717548,10,"line-positive",0.365122906614889,10,"line-positive",0.29387794451223,10,"line-positive",0.222632982409571,10,"line-positive",0.151388020306912,10,"line-positive",NA
