time_taken,start_code,code,condition,effectiveness,reduces_sickness,comprehension,why_answered_no,previous_study,age,gender,education,test_question,comments,cheat_detection
83,ab89f,4b0c59,no_graph,7,yes,6,,no,18,male,high-school,common_cold,,
81,aaf4d,4acb1b,graph,6,yes,15,,no,30,female,some_college,common_cold,,
61,ab3e5,4aeb43,no_graph,9,yes,8,,no,43,female,some_college,common_cold,,
102,ab88f,4b0be9,no_graph,4,no,16,this is how i think,no,45,male,college_or_more,common_cold,,
74,ab209,4ade3f,graph,6,yes,12,,no,43,female,some_college,common_cold,,
133,ab7df,4b0719,no_graph,7,no,5,it depend on human body and immune system,no,28,female,neither,common_cold,no,
38,ab2e7,4ae451,graph,7,yes,15,,no,30,male,college_or_more,common_cold,Anything,
34,ab4bb,4af11d,no_graph,7,yes,14,,no,38,female,high-school,common_cold,,
119,ab431,4aed57,no_graph,7,yes,12,,no,26,female,college_or_more,common_cold,,
104,ab36b,4ae7ed,graph,6,yes,12,,unsure,29,female,college_or_more,common_cold,,
169,ab39d,4ae94b,graph,6,yes,16,,no,35,male,high-school,common_cold,,
123,ab779,4b044f,no_graph,7,yes,5,,no,43,male,college_or_more,common_cold,,
110,ab241,4adfc7,graph,7,yes,12,,no,34,male,neither,common_cold,,
166,ab16d,4ad9fb,graph,8,yes,4,,no,40,male,some_college,common_cold,,
83,ab6af,4afec9,no_graph,7,yes,0,,no,30,male,college_or_more,common_cold,,
91,ab11f,4ad7d9,graph,6,yes,8,,no,35,male,college_or_more,common_cold,,
129,ab14f,4ad929,graph,9,yes,2,,no,28,male,college_or_more,common_cold,,
204,ab0a1,4ad467,graph,8,yes,8,,no,25,male,some_college,common_cold,,
157,ab57b,4af65d,no_graph,8,yes,12,,no,33,male,college_or_more,common_cold,,
57,ab87d,4b0b6b,no_graph,4,yes,10,,no,44,female,college_or_more,common_cold,,
122,ab0e3,4ad635,graph,6,yes,12,,no,23,male,college_or_more,common_cold,,
202,ab251,4ae037,graph,7,yes,8,,no,26,male,high-school,common_cold,,
126,aaeb7,4ac701,graph,4,yes,11,,no,45,male,high-school,common_cold,,
173,ab1c7,4adc71,graph,6,yes,8,,no,43,male,some_college,common_cold,,
