time_taken,start_code,code,condition,believe_in_effectiveness,comprehension,previous_study,test_question,test_question2,comments,cheat_detection,time_page_1,time_page_2
63,ad749,4be2ff,graph,3,6,no,common_cold,20,,,17321,24120
98,adc83,4c0795,no_graph,6,12,no,common_cold,20,,,26105,41278
133,addb9,4c100f,no_graph,7,15,no,common_cold,20,,,43341,52104
214,ad96b,4bf1ed,graph,6,16,no,common_cold,20,,,45932,117118
159,ad8e7,4bee51,graph,7,14,no,common_cold,20,,,63923,48913
114,adb73,4c0025,no_graph,9,18,no,common_cold,20,ninguno,,46416,21715
189,adc89,4c07bf,no_graph,6,17,no,common_cold,20,,,84017,62643
227,ad9db,4bf4fd,graph,8,15,no,common_cold,20,,,86441,114123
150,ad7dd,4be70b,graph,7,15,no,common_cold,20,,,58952,53671
246,adb9f,4c0159,no_graph,3,16,no,common_cold,20,"It's an attention study and I like doing this. It would be great if there are more like these, but a little more complex. ",,53990,69500
171,ade6f,4c1509,no_graph,5,8,no,common_cold,20,No.,,78172,61136
182,ad9d1,4bf4b7,graph,8,13,no,common_cold,20,,,35506,67357
203,ad825,4be903,graph,8,12,no,common_cold,20,no,,73048,68535
187,ad8cf,4beda9,graph,5,12,no,common_cold,20,,,103552,41581
413,ad729,4be21f,graph,7,12,no,common_cold,20,,,182777,189541
88,ad69b,4bde3d,graph,7,8,no,common_cold,20,,,28952,24647
108,adb27,4bfe11,no_graph,5,16,no,common_cold,20,,,40749,30712
100,ad6e3,4be035,graph,5,10,no,common_cold,20,,,26102,16885
177,adc4d,4c061b,no_graph,6,18,no,common_cold,20,,,74916,65381
178,adcb3,4c08e5,no_graph,7,16,no,common_cold,20,,,61222,87624
138,adbff,4c03f9,no_graph,2,16,no,common_cold,20,,,28207,70023
79,ad807,4be831,graph,5,16,no,common_cold,20,,,23696,26810
121,ad911,4bef77,graph,3,5,no,common_cold,20,I like this kind of studies,,18883,44953
100,adcf9,4c0acf,no_graph,3,6,no,common_cold,20,,,26412,38252
109,ad7df,4be719,graph,7,14,no,common_cold,20,,,39808,27318
156,adaa1,4bfa67,no_graph,8,16,no,common_cold,20,,,36619,84973
53,ad959,4bf16f,graph,4,14,no,common_cold,20,No,,12463,22438
111,ad96f,4bf209,graph,6,12,no,common_cold,20,no,,35891,52601
216,ad915,4bef93,graph,7,16,unsure,common_cold,20,it is about a math test?,,77589,85889
137,ad7e3,4be735,graph,8,16,no,common_cold,20,,,40665,63067
145,ad5a5,4bd783,graph,9,4,no,common_cold,20,no,,49840,57379
177,adc0b,4c044d,no_graph,7,13,no,common_cold,20,,,47882,90168
169,ad8c1,4bed47,graph,7,0,no,common_cold,20,,,47681,75774
115,ada37,4bf781,no_graph,9,12,no,common_cold,20,,,20866,70562
80,adb03,4bfd15,no_graph,4,11,no,common_cold,20,,,18883,31842
316,add55,4c0d53,no_graph,5,10,no,common_cold,20,,,138286,30943
200,ade57,4c1461,no_graph,8,4,no,common_cold,20,nothing more,,55943,110661
267,adab9,4bfb0f,no_graph,7,0,unsure,common_cold,20,,,51130,167100
68,addf7,4c11c1,no_graph,7,13,no,common_cold,20,,,16689,15564
141,ad969,4bf1df,graph,9,1,no,common_cold,20,,,62166,30884
115,ada13,4bf685,no_graph,5,16,no,common_cold,20,,,25606,26423
182,ada8b,4bf9cd,no_graph,9,2,no,common_cold,20,,,61435,79610
152,ad6e9,4be05f,graph,4,20,no,common_cold,20,no,,54482,53918
146,ad94d,4bf11b,graph,6,13,no,common_cold,20,,,46131,78617
131,ade1b,4c12bd,no_graph,5,14,no,common_cold,20,,,49105,50006
149,ad8b5,4becf3,graph,8,3,no,common_cold,20,is very important study for people heal,,31322,35948
98,ada0d,4bf65b,no_graph,5,12,no,common_cold,20,no comments at this time,,40087,31132
80,ad695,4bde13,graph,5,13,no,common_cold,20,,,23164,32933
173,add25,4c0c03,no_graph,8,16,no,common_cold,20,Liked the visuals and the slider.,,70023,63562
273,ad7f1,4be797,graph,7,12,no,common_cold,20,It is about paying attention or about memory?,,53461,133362
133,ada77,4bf941,no_graph,7,12,no,common_cold,20,,,39323,56861
187,ad675,4bdd33,graph,7,12,no,common_cold,20,no comments,,64351,85721
163,adc2f,4c0549,no_graph,6,12,no,common_cold,20,,,59977,68020
93,ade2d,4c133b,no_graph,7,7,no,common_cold,20,,,32333,36163
155,ad927,4bf011,graph,7,1,no,common_cold,20,,,71700,63666
176,ade93,4c1605,no_graph,8,7,no,common_cold,20,,,53238,100691
102,ad887,4bebb1,graph,6,12,no,common_cold,20,,,27070,38640
224,ad989,4bf2bf,graph,8,8,no,common_cold,20,"I'd like to read and use more graphics and statistics, and I'd like to answer more questions about this topic because I am always worried about flu and cold",,28288,79722
211,ad8d3,4bedc5,graph,7,17,no,common_cold,20,,,52866,88408
72,ad89d,4bec4b,graph,7,10,no,common_cold,20,,,36072,14728
309,ad879,4beb4f,graph,5,15,no,common_cold,20,,,100077,131892
136,add1f,4c0bd9,no_graph,7,12,no,common_cold,20,,,35375,69327
95,adbe1,4c0327,no_graph,7,12,no,common_cold,20,,,29906,45232
120,ad905,4bef23,graph,7,16,no,common_cold,20,,,49238,42249
204,ad9fb,4bf5dd,no_graph,5,7,no,common_cold,20,,,63102,93203
126,adcf3,4c0aa5,no_graph,6,13,no,common_cold,20,interesting!!!,,32701,53135
122,ad6ef,4be089,graph,6,16,no,common_cold,20,,,45604,53255
680,add83,4c0e95,no_graph,7,10,no,common_cold,20,,,54961,126262
112,ad7a9,4be59f,graph,7,16,no,common_cold,20,,,27178,65329
201,adb0d,4bfd5b,no_graph,7,0,no,common_cold,20,,,67618,83922
167,ad8c3,4bed55,graph,8,4,no,common_cold,20,interesante,,30621,105896
183,ad767,4be3d1,graph,8,5,no,common_cold,20,,,14386,73281
274,ad72b,4be22d,graph,4,12,no,common_cold,20,,,95611,112673
109,ada5b,4bf87d,no_graph,7,12,unsure,common_cold,20,no,,41695,33177
137,add0b,4c0b4d,no_graph,7,5,no,common_cold,20,,,50859,59449
97,adcd1,4c09b7,no_graph,4,15,no,common_cold,20,,,25197,27814
268,adb49,4bfeff,no_graph,6,4,no,common_cold,20,,,69651,130267
133,ad5a3,4bd775,graph,7,17,no,common_cold,20,,,54716,47671
145,ad5c9,4bd87f,graph,6,15,no,common_cold,20,,,62391,44839
61,ad6f5,4be0b3,graph,6,10,no,common_cold,20,,,13603,27582
122,ad681,4bdd87,graph,7,2,no,common_cold,20,,,36127,57594
88,add01,4c0b07,no_graph,3,10,no,common_cold,20,,,27582,37086
90,ada95,4bfa13,no_graph,4,11,no,common_cold,20,,,25414,36543
136,ad81b,4be8bd,graph,4,16,no,common_cold,20,,,48235,58394
74,ad587,4bd6b1,graph,7,12,no,common_cold,20,,,25312,23590
123,ad58b,4bd6cd,graph,8,15,no,common_cold,20,,,31681,64822
152,ad5c1,4bd847,graph,4,16,no,common_cold,20,,,56929,69119
82,ade6d,4c14fb,no_graph,7,3,no,common_cold,20,No sorry,,20011,26336
73,ad6ff,4be0f9,graph,8,7,no,common_cold,20,No,,17664,28338
117,ad839,4be98f,graph,7,14,no,common_cold,20,I think interesting do a study like that,,27703,34362
130,ad7cb,4be68d,graph,6,4,no,common_cold,20,,,42210,67789
113,ad6b1,4bded7,graph,7,11,no,common_cold,20,,,37825,46693
124,ad8ff,4beef9,graph,7,14,no,common_cold,20,,,47402,32724
155,ad6b7,4bdf01,graph,7,16,no,common_cold,20,,,34664,62271
103,ad73b,4be29d,graph,7,17,no,common_cold,20,N/A,,48516,34543
85,ad64b,4bdc0d,graph,6,17,no,common_cold,20,,,23594,23129
136,adb4b,4bff0d,no_graph,7,8,no,common_cold,20,Interesting.,,48165,52299
166,adb63,4bffb5,no_graph,7,13,no,common_cold,20,,,54817,79183
92,ad731,4be257,graph,4,20,no,common_cold,20,Very interesting,,38576,24259
150,adb37,4bfe81,no_graph,6,7,no,common_cold,20,,,36823,81337
70,ad5e7,4bd951,graph,8,16,no,common_cold,20,,,21606,32461
112,adb5d,4bff8b,no_graph,7,5,no,common_cold,20,was an enjoyable survey. please send more !,,20206,59345
128,ad783,4be495,graph,6,8,no,common_cold,20,,,63348,43467
187,ad8f7,4beec1,graph,8,2,no,common_cold,20,,,69565,81337
277,adaf1,4bfc97,no_graph,6,13,no,common_cold,20,The effectiveness of the drug has to be higher.,,85370,115833
239,adea5,4c1683,no_graph,6,13,no,common_cold,20,,,56449,144340
164,ad9b1,4bf3d7,graph,6,12,no,common_cold,20,no,,54768,74081
81,ad579,4bd64f,graph,6,19,unsure,common_cold,20,,,18378,29298
207,add73,4c0e25,no_graph,7,13,no,common_cold,20,no,,56718,107371
145,ad9b9,4bf40f,graph,7,8,no,common_cold,20,"I suffer from common cold myself, thank you for the survey.",,35033,47567
118,ad7c7,4be671,graph,6,16,no,common_cold,20,,,35550,51784
119,ad777,4be441,graph,6,15,no,common_cold,20,,,33785,55129
106,ad671,4bdd17,graph,8,13,no,common_cold,20,,,43567,42757
236,ada83,4bf995,no_graph,4,13,no,common_cold,20,,,47061,53115
110,ad7d1,4be6b7,graph,6,8,no,common_cold,20,Interesting.,,37810,36630
184,adc21,4c04e7,no_graph,5,13,no,common_cold,20,no,,13453,27613
119,ade61,4c14a7,no_graph,7,12,no,common_cold,20,,,50055,44307
92,ade7f,4c1579,no_graph,9,12,no,common_cold,20,,,23361,39164
165,ad8b7,4bed01,graph,7,13,no,common_cold,20,,,58532,73685
140,adcc5,4c0963,no_graph,7,7,no,common_cold,20,,,36815,76570
148,adc95,4c0813,no_graph,7,15,no,common_cold,20,,,47206,61333
43,ad62d,4bdb3b,graph,8,13,no,common_cold,20,no,,10203,14385
274,ad6c5,4bdf63,graph,6,14,no,common_cold,20,,,68734,107430
140,addeb,4c116d,no_graph,8,19,no,common_cold,20,,,44243,60187
121,adb8b,4c00cd,no_graph,4,12,no,common_cold,20,,,42606,51387
122,adc9f,4c0859,no_graph,6,16,no,common_cold,20,"No, thanks",,35612,54101
98,adc45,4c05e3,no_graph,7,15,unsure,common_cold,20,Quick Study,,19023,42991
138,ad7a1,4be567,graph,6,6,no,common_cold,20,,,28816,75785
482,ad75b,4be37d,graph,6,14,no,common_cold,20,,,211564,73223
235,ad771,4be417,graph,8,15,no,common_cold,20,,,27598,190747
145,aded9,4c17ef,no_graph,5,16,no,common_cold,20,,,52374,68825
85,adc47,4c05f1,no_graph,6,12,no,common_cold,20,no,,25008,32384
200,adba5,4c0183,no_graph,3,4,no,common_cold,20,,,45502,78792
118,ade81,4c1587,no_graph,3,10,no,common_cold,20,,,27093,62902
549,adbc1,4c0247,no_graph,9,20,no,common_cold,20,It would be interesting to know the type of medicine,,138706,248793
116,ad93b,4bf09d,graph,6,16,no,common_cold,20,-,,43614,48043
242,adc1d,4c04cb,no_graph,6,12,no,common_cold,20,,,60557,114941
156,ada05,4bf623,no_graph,6,17,no,common_cold,20,none,,93947,30083
180,adb55,4bff53,no_graph,6,14,no,common_cold,20,,,38917,115214
388,ada29,4bf71f,no_graph,7,0,no,common_cold,20,Great.,,31740,307064
86,ad9dd,4bf50b,graph,1,0,no,common_cold,20,,,23608,39091
130,ad92f,4bf049,graph,7,15,no,common_cold,20,,,46153,66851
83,adce9,4c0a5f,no_graph,3,16,no,common_cold,20,,,29135,31638
165,ad8d9,4bedef,graph,3,11,unsure,common_cold,20,No,,46156,75714
113,add17,4c0ba1,no_graph,4,3,no,common_cold,20,,,20249,22889
210,adcdb,4c09fd,no_graph,8,12,no,common_cold,20,no,,68811,95709
217,addc5,4c1063,no_graph,7,7,no,common_cold,20,,,73799,89403
203,ad94b,4bf10d,graph,5,8,no,common_cold,20,,,51663,59407
160,ad941,4bf0c7,graph,7,10,no,common_cold,20,,,33462,71289
90,ad77f,4be479,graph,7,8,no,common_cold,20,,,45325,30274
184,add2f,4c0c49,no_graph,5,4,unsure,common_cold,20,,,62466,88529
