time_taken,start_code,code,condition,believe_in_effectiveness,comprehension,previous_study,age,gender,education,test_question,test_question2,comments,cheat_detection,time_page_1,time_page_2,belief_in_medicine,belief_in_science
59,ae217,4c2ea1,graph,7,4,no,27,male,college_or_more,common_cold,20,,,17024,18391,5,9
81,ae991,4c62f7,no_graph,7,13,no,28,male,high-school,common_cold,20,,,24910,29151,7,7
78,aea6d,4c68fb,no_graph,7,13,no,27,male,some_college,common_cold,20,,,23575,29618,9,9
94,ae8a7,4c5c91,no_graph,8,15,no,26,male,some_college,common_cold,20,,,30309,28191,1,6
93,ae839,4c598f,no_graph,7,8,no,31,male,college_or_more,common_cold,20,,,28793,30471,7,9
81,ae2b7,4c3301,graph,6,15,no,24,male,college_or_more,common_cold,20,,,30374,19271,5,8
160,ae9a3,4c6375,no_graph,7,12,no,37,female,college_or_more,common_cold,20,no,,31265,102396,3,8
152,ae679,4c4d4f,no_graph,7,12,no,48,male,some_college,common_cold,20,"Thanks good luck with your work 
",,22156,50775,7,9
124,aea9f,4c6a59,no_graph,7,20,no,35,male,college_or_more,common_cold,20,,,73693,17066,4,9
121,ae9fb,4c65dd,no_graph,7,6,no,26,male,high-school,common_cold,20,,,26429,53349,8,7
48,ae8bf,4c5d39,no_graph,7,12,no,31,male,some_college,common_cold,20,,,18290,9110,6,8
129,ae2c9,4c337f,graph,9,9,no,31,female,college_or_more,common_cold,20,,,11364,84571,8,9
106,ae62b,4c4b2d,graph,6,12,no,27,male,some_college,common_cold,20,,,35957,26918,6,9
101,ae7f3,4c57a5,no_graph,7,16,no,35,male,college_or_more,common_cold,20,,,19049,49524,5,8
168,ae997,4c6321,no_graph,6,17,no,27,male,high-school,common_cold,20,,,73643,69460,5,9
89,aea27,4c6711,no_graph,8,16,no,50,female,college_or_more,common_cold,20,,,18306,35595,6,7
58,ae8c3,4c5d55,no_graph,8,15,no,23,female,some_college,common_cold,20,,,13560,18731,4,8
53,ae941,4c60c7,no_graph,5,17,no,26,male,high-school,common_cold,20,,,8501,16144,6,9
79,ae57b,4c465d,graph,8,15,no,35,male,college_or_more,common_cold,20,,,19193,34596,7,6
129,ae5b9,4c480f,graph,6,12,no,58,female,high-school,common_cold,20,,,30554,59866,4,7
138,aeaeb,4c6c6d,no_graph,6,14,no,56,female,some_college,common_cold,20,,,23723,65657,8,8
63,ae193,4c2b05,graph,2,16,no,34,male,college_or_more,common_cold,20,,,18593,18857,7,9
89,ae81d,4c58cb,no_graph,7,16,unsure,35,male,college_or_more,common_cold,20,,,22324,29216,5,9
128,ae28d,4c31db,graph,6,13,no,26,male,college_or_more,common_cold,20,,,33544,60749,6,9
94,ae1a9,4c2b9f,graph,7,12,no,55,female,some_college,common_cold,20,nothing thanks,,17295,47198,3,8
225,ae33d,4c36ab,graph,5,12,no,41,male,high-school,common_cold,20,,,57580,113125,2,9
