"participant","adjP10","adjP20","adjP30","adjPDiff","condition","gender","index","change","subgroup","orig","BIS"
1,56.5,55.8,58.4,1.9,"expansive","female",69,3.36283185840708,"expansiveHigh",56.9,"high"
2,27.875,40.1428571428571,36,8.125,"constrictive","female",60,29.1479820627803,"constrictiveLow",34.672619047619,"low"
3,61,59,76.5,15.5,"expansive","female",55,25.4098360655738,"expansiveLow",65.5,"low"
4,24.5714285714286,32.75,37.8571428571429,13.2857142857143,"constrictive","female",79,54.0697674418604,"constrictiveHigh",31.7261904761905,"high"
5,64.7142857142857,54,41,-23.7142857142857,"expansive","female",69,-36.644591611479,"expansiveHigh",53.2380952380952,"high"
6,35.1428571428571,52.4,45.6,10.4571428571429,"constrictive","female",43,29.7560975609756,"constrictiveLow",44.3809523809524,"low"
7,25.1428571428571,38.4285714285714,42.8333333333333,17.6904761904762,"expansive","female",59,70.3598484848485,"expansiveLow",35.468253968254,"low"
8,51.8571428571429,62.1666666666667,77.5,25.6428571428571,"constrictive","female",67,49.4490358126722,"constrictiveHigh",63.8412698412698,"high"
9,31.2857142857143,43.8571428571429,51.1666666666667,19.8809523809524,"expansive","female",64,63.5464231354642,"expansiveHigh",42.1031746031746,"high"
10,29.625,36.875,37.2857142857143,7.66071428571428,"constrictive","female",83,25.8589511754069,"constrictiveHigh",34.5952380952381,"high"
11,15.7777777777778,18.8,14.7777777777778,-1,"expansive","female",55,-6.33802816901408,"expansiveLow",16.4518518518519,"low"
12,24.125,34.4285714285714,30.75,6.625,"constrictive","female",62,27.4611398963731,"constrictiveLow",29.7678571428571,"low"
13,28.625,32.75,31.8571428571429,3.23214285714286,"expansive","female",53,11.2913287585777,"expansiveLow",31.077380952381,"low"
14,49.4,43.7142857142857,45.6666666666667,-3.73333333333333,"constrictive","female",49,-7.55735492577598,"constrictiveLow",46.2603174603175,"low"
15,21,20.4444444444444,18.1111111111111,-2.88888888888889,"expansive","female",72,-13.7566137566138,"expansiveHigh",19.8518518518519,"high"
51,18.25,19.3333333333333,22.8888888888889,4.63888888888889,"expansive","male",61,25.4185692541857,"expansiveLow",20.1574074074074,"low"
52,45.5714285714286,52.6,47.1666666666667,1.59523809523809,"constrictive","male",63,3.50052246603971,"constrictiveLow",48.4460317460317,"low"
53,56.1666666666667,64.8333333333333,60,3.83333333333334,"expansive","male",70,6.82492581602374,"expansiveHigh",60.3333333333333,"high"
54,25.25,29.625,26.625,1.375,"constrictive","male",60,5.44554455445545,"constrictiveLow",27.1666666666667,"low"
55,70.6,62.3333333333333,70.25,-0.349999999999994,"expansive","male",61,-0.495750708215289,"expansiveLow",67.7277777777778,"low"
56,27.2857142857143,41.4444444444444,54.2857142857143,27,"constrictive","male",56,98.9528795811518,"constrictiveLow",41.005291005291,"low"
57,11,14.6666666666667,19.375,8.375,"expansive","male",53,76.1363636363636,"expansiveLow",15.0138888888889,"low"
58,47.8333333333333,61.6,70,22.1666666666667,"constrictive","male",83,46.3414634146341,"constrictiveHigh",59.8111111111111,"high"
59,29.3333333333333,60.8333333333333,67,37.6666666666667,"expansive","male",58,128.409090909091,"expansiveLow",52.3888888888889,"low"
60,55,57,67.2,12.2,"constrictive","male",82,22.1818181818182,"constrictiveHigh",59.7333333333333,"high"
61,53,45.5,46.75,-6.25,"expansive","male",73,-11.7924528301887,"expansiveHigh",48.4166666666667,"high"
62,46.3333333333333,53.8333333333333,57.25,10.9166666666667,"constrictive","male",56,23.5611510791367,"constrictiveLow",52.4722222222222,"low"
63,25.25,32.375,34.2857142857143,9.03571428571428,"expansive","male",53,35.7850070721358,"expansiveLow",30.6369047619048,"low"
64,19.5,15.4444444444444,15.8888888888889,-3.61111111111111,"constrictive","male",54,-18.5185185185185,"constrictiveLow",16.9444444444444,"low"
65,68.4,74,93.5,25.1,"expansive","male",65,36.6959064327485,"expansiveHigh",78.6333333333333,"high"
66,56,50.3333333333333,53.3333333333333,-2.66666666666666,"constrictive","male",61,-4.76190476190476,"constrictiveLow",53.2222222222222,"low"
67,60.5,63.25,67,6.5,"expansive","male",78,10.7438016528926,"expansiveHigh",63.5833333333333,"high"
