"","j","prior_mu","prior_sigma","prior_weight","log_C","grid","prior_d","post_d","prior_d_jansen"
"1","1",0,2,0.25,-383.930611344806,-40,2.76047418107988e-88,0,0.00505890108206406
"2","1",0,2,0.25,-383.930611344806,-39.959979989995,4.11814314830953e-88,0,0.00506079323305776
"3","1",0,2,0.25,-383.930611344806,-39.91995997999,6.141087656423e-88,0,0.00506268419665417
"4","1",0,2,0.25,-383.930611344806,-39.879939969985,9.15409178101894e-88,0,0.00506457397099366
"5","1",0,2,0.25,-383.930611344806,-39.83991995998,1.36399047262233e-87,0,0.00506646255421725
"6","1",0,2,0.25,-383.930611344806,-39.799899949975,2.03157808579761e-87,0,0.00506834994446661
"7","1",0,2,0.25,-383.930611344806,-39.75987993997,3.024696547618e-87,0,0.00507023613988406
"8","1",0,2,0.25,-383.930611344806,-39.719859929965,4.50148917456377e-87,0,0.00507212113861256
"9","1",0,2,0.25,-383.930611344806,-39.67983991996,6.69663638007176e-87,0,0.00507400493879573
"10","1",0,2,0.25,-383.930611344806,-39.639819909955,9.95825708690802e-87,0,0.00507588753857784
"11","1",0,2,0.25,-383.930611344806,-39.59979989995,1.48025337021301e-86,0,0.00507776893610384
"12","1",0,2,0.25,-383.930611344806,-39.559779889945,2.19945404039873e-86,0,0.00507964912951931
"13","1",0,2,0.25,-383.930611344806,-39.51975987994,3.26677958324079e-86,0,0.00508152811697052
"14","1",0,2,0.25,-383.930611344806,-39.479739869935,4.85010211325303e-86,0,0.00508340589660439
"15","1",0,2,0.25,-383.930611344806,-39.43971985993,7.19793698428501e-86,0,0.00508528246656854
"16","1",0,2,0.25,-383.930611344806,-39.399699849925,1.06780341763088e-85,0,0.00508715782501124
"17","1",0,2,0.25,-383.930611344806,-39.35967983992,1.5834366076001e-85,0,0.00508903197008144
"18","1",0,2,0.25,-383.930611344806,-39.319659829915,2.34712470254879e-85,0,0.00509090489992878
"19","1",0,2,0.25,-383.930611344806,-39.27963981991,3.47774516606918e-85,0,0.00509277661270357
"20","1",0,2,0.25,-383.930611344806,-39.239619809905,5.15092771606153e-85,0,0.00509464710655683
"21","1",0,2,0.25,-383.930611344806,-39.1995997998999,7.62604324148241e-85,0,0.00509651637964024
"22","1",0,2,0.25,-383.930611344806,-39.1595797898949,1.12859774961753e-84,0,0.00509838443010619
"23","1",0,2,0.25,-383.930611344806,-39.1195597798899,1.66957220040047e-84,0,0.00510025125610777
"24","1",0,2,0.25,-383.930611344806,-39.0795397698849,2.46886497190919e-84,0,0.00510211685579876
"25","1",0,2,0.25,-383.930611344806,-39.0395197598799,3.64935052161663e-84,0,0.00510398122733364
"26","1",0,2,0.25,-383.930611344806,-38.9994997498749,5.39212472683197e-84,0,0.00510584436886759
"27","1",0,2,0.25,-383.930611344806,-38.9594797398699,7.96398416253684e-84,0,0.00510770627855653
"28","1",0,2,0.25,-383.930611344806,-38.9194597298649,1.17578239803289e-83,0,0.00510956695455704
"29","1",0,2,0.25,-383.930611344806,-38.8794397198599,1.73520036080518e-83,0,0.00511142639502646
"30","1",0,2,0.25,-383.930611344806,-38.8394197098549,2.55975507467084e-83,0,0.00511328459812282
"31","1",0,2,0.25,-383.930611344806,-38.7993996998499,3.77462058796991e-83,0,0.00511514156200488
"32","1",0,2,0.25,-383.930611344806,-38.7593796898449,5.5638357975694e-83,0,0.00511699728483211
"33","1",0,2,0.25,-383.930611344806,-38.7193596798399,8.19787728142791e-83,0,0.00511885176476473
"34","1",0,2,0.25,-383.930611344806,-38.6793396698349,1.20740961403177e-82,0,0.00512070499996366
"35","1",0,2,0.25,-383.930611344806,-38.6393196598299,1.77759964453171e-82,0,0.00512255698859058
"36","1",0,2,0.25,-383.930611344806,-38.5992996498249,2.61600993043453e-82,0,0.00512440772880788
"37","1",0,2,0.25,-383.930611344806,-38.5592796398199,3.84831780487776e-82,0,0.00512625721877872
"38","1",0,2,0.25,-383.930611344806,-38.5192596298149,5.65885518776397e-82,0,0.00512810545666695
